[dotenv@17.3.1] injecting env (18) from .env -- tip: 🔐 prevent committing .env to code: https://dotenvx.com/precommit
✅ Background jobs started
✅ SKU Tracking System initialized
✅ Server running on port 4000
✅ MongoDB connected
✅ Default categories and brands seeded
>>> 2026-09-13T14:59:56.818Z GET /user/profile from ::1
>>> 2026-09-13T14:59:56.861Z POST /getcart from ::1
>>> 2026-09-13T14:59:56.872Z GET /userfavorites from ::1
>>> 2026-09-13T14:59:56.999Z GET /allproducts from ::1
>>> 2026-09-13T14:59:57.033Z GET /allproducts from ::1
>>> 2026-09-13T14:59:59.348Z POST /getcart from ::1
>>> 2026-09-13T14:59:59.380Z GET /userfavorites from ::1
>>> 2026-09-13T14:59:59.384Z GET /user/profile from ::1
>>> 2026-09-13T14:59:59.386Z GET /allproducts from ::1
>>> 2026-09-13T14:59:59.482Z GET /allproducts from ::1
>>> 2026-09-13T14:59:59.618Z GET /allproducts from ::1
>>> 2026-09-13T15:00:23.782Z GET /allproducts from ::1
>>> 2026-09-13T15:00:23.942Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T15:01:23.793Z GET /allproducts from ::1
>>> 2026-09-13T15:01:24.025Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T15:02:23.792Z GET /allproducts from ::1
>>> 2026-09-13T15:02:23.981Z GET /admin/orders?limit=30 from ::1
>>> 2026-09-13T15:02:25.660Z GET /allproducts from ::1
